player_type,device,feedback_text,score
new_player,console,Hiệu ứng đẹp nhưng game lag,5
pro,pc,Cốt truyện hấp dẫn và lôi cuốn,2
experienced,console,Game chơi vui và rất đẹp,9
new_player,pc,Game chơi vui và rất đẹp,9
casual,mobile,Hiệu ứng đẹp nhưng game lag,1
casual,pc,Game chơi vui và rất đẹp,3
new_player,pc,Nhạc nền hay nhưng hơi to,4
casual,console,Đồ họa rất đẹp và mượt,7
casual,pc,Gameplay sáng tạo nhưng hơi khó,10
casual,mobile,Đồ họa rất đẹp và mượt,4
experienced,mobile,Cốt truyện hấp dẫn và lôi cuốn,2
casual,console,Gameplay sáng tạo nhưng hơi khó,7
casual,mobile,Gameplay sáng tạo nhưng hơi khó,6
casual,pc,Đồ họa rất đẹp và mượt,3
experienced,mobile,Hiệu ứng đẹp nhưng game lag,6
new_player,console,Gameplay sáng tạo nhưng hơi khó,6
pro,pc,Đồ họa rất đẹp và mượt,5
casual,console,Gameplay sáng tạo nhưng hơi khó,4
new_player,pc,Nhiệm vụ đa dạng và thú vị,10
casual,mobile,Hiệu ứng đẹp nhưng game lag,1
experienced,console,Nhạc nền hay nhưng hơi to,10
new_player,console,Gameplay sáng tạo nhưng hơi khó,6
experienced,pc,Nhiệm vụ đa dạng và thú vị,2
casual,,Nhạc nền hay nhưng hơi to,3
casual,pc,Nhạc nền hay nhưng hơi to,8
experienced,pc,Cốt truyện hấp dẫn và lôi cuốn,10
pro,pc,Gameplay sáng tạo nhưng hơi khó,6
experienced,pc,Đồ họa rất đẹp và mượt,3
casual,mobile,Gameplay sáng tạo nhưng hơi khó,7
experienced,pc,Nhiệm vụ đa dạng và thú vị,4
pro,,Nhạc nền hay nhưng hơi to,9
experienced,mobile,Gameplay sáng tạo nhưng hơi khó,5
pro,console,Đồ họa rất đẹp và mượt,3
pro,mobile,,2
experienced,pc,Gameplay sáng tạo nhưng hơi khó,2
experienced,mobile,Hiệu ứng đẹp nhưng game lag,3
new_player,mobile,Cốt truyện hấp dẫn và lôi cuốn,2
casual,console,Đồ họa rất đẹp và mượt,4
pro,console,Nhiệm vụ đa dạng và thú vị,2
new_player,pc,Nhạc nền hay nhưng hơi to,10
experienced,mobile,Gameplay sáng tạo nhưng hơi khó,9
casual,mobile,Đồ họa rất đẹp và mượt,2
new_player,mobile,Cốt truyện hấp dẫn và lôi cuốn,9
pro,pc,Hiệu ứng đẹp nhưng game lag,6
new_player,pc,Đồ họa rất đẹp và mượt,1
pro,pc,Game chơi vui và rất đẹp,4
experienced,pc,Hiệu ứng đẹp nhưng game lag,1
casual,,Cốt truyện hấp dẫn và lôi cuốn,6
casual,console,Nhiệm vụ đa dạng và thú vị,4
casual,mobile,Nhạc nền hay nhưng hơi to,3
experienced,mobile,Cốt truyện hấp dẫn và lôi cuốn,3
pro,mobile,Nhiệm vụ đa dạng và thú vị,9
experienced,mobile,Gameplay sáng tạo nhưng hơi khó,6
casual,mobile,Đồ họa rất đẹp và mượt,9
experienced,mobile,Game chơi vui và rất đẹp,5
experienced,mobile,Hiệu ứng đẹp nhưng game lag,2
experienced,mobile,Hiệu ứng đẹp nhưng game lag,8
pro,console,Đồ họa rất đẹp và mượt,5
new_player,mobile,,2
new_player,console,Đồ họa rất đẹp và mượt,4
experienced,pc,Gameplay sáng tạo nhưng hơi khó,9
new_player,mobile,Nhiệm vụ đa dạng và thú vị,4
new_player,pc,Cốt truyện hấp dẫn và lôi cuốn,4
experienced,pc,Hiệu ứng đẹp nhưng game lag,2
experienced,pc,,6
casual,console,Nhiệm vụ đa dạng và thú vị,2
new_player,pc,Gameplay sáng tạo nhưng hơi khó,7
pro,pc,Game chơi vui và rất đẹp,3
experienced,pc,Hiệu ứng đẹp nhưng game lag,3
casual,mobile,Cốt truyện hấp dẫn và lôi cuốn,5
pro,mobile,Đồ họa rất đẹp và mượt,3
new_player,console,Đồ họa rất đẹp và mượt,2
casual,console,Nhiệm vụ đa dạng và thú vị,10
experienced,mobile,Cốt truyện hấp dẫn và lôi cuốn,9
