genre,platform,review_text,rating
Rock,YouTube Music,Phần hòa âm sáng tạo và độc đáo,1
Pop,Spotify,Chất giọng hay nhưng thiếu cảm xúc,4
Rock,Spotify,Ca khúc rất sáng tạo và truyền cảm hứng,2
Pop,YouTube Music,Chất giọng hay nhưng thiếu cảm xúc,2
Pop,Spotify,Lời bài hát ý nghĩa và sâu lắng,2
Rock,Spotify,Album sáng tạo và mang phong cách riêng,4
Rock,Apple Music,Album sáng tạo và mang phong cách riêng,1
Hip-hop,Apple Music,Chất giọng hay nhưng thiếu cảm xúc,4
Pop,Apple Music,Giai điệu bắt tai nhưng chưa mới,2
Rock,Apple Music,Phần hòa âm sáng tạo và độc đáo,5
Rock,Spotify,Bản phối rất sáng tạo và thu hút,3
Rock,YouTube Music,Phần hòa âm sáng tạo và độc đáo,4
Hip-hop,Spotify,Phần hòa âm sáng tạo và độc đáo,4
Hip-hop,Spotify,Lời bài hát ý nghĩa và sâu lắng,1
Indie,Spotify,Phần hòa âm sáng tạo và độc đáo,1
Pop,Apple Music,Album sáng tạo và mang phong cách riêng,4
Indie,Apple Music,Lời bài hát ý nghĩa và sâu lắng,2
Rock,Apple Music,Ca khúc rất sáng tạo và truyền cảm hứng,3
Hip-hop,YouTube Music,Phần hòa âm sáng tạo và độc đáo,1
Hip-hop,Spotify,Phần hòa âm sáng tạo và độc đáo,2
Indie,YouTube Music,Ca khúc rất sáng tạo và truyền cảm hứng,5
Hip-hop,Apple Music,Phần hòa âm sáng tạo và độc đáo,1
Rock,YouTube Music,Ca khúc rất sáng tạo và truyền cảm hứng,2
Hip-hop,Spotify,Lời bài hát ý nghĩa và sâu lắng,2
Indie,Spotify,Album sáng tạo và mang phong cách riêng,3
Rock,Apple Music,Ca khúc rất sáng tạo và truyền cảm hứng,3
Indie,Apple Music,Giai điệu bắt tai nhưng chưa mới,5
Hip-hop,YouTube Music,Ca khúc rất sáng tạo và truyền cảm hứng,2
Indie,Apple Music,Phần hòa âm sáng tạo và độc đáo,2
Indie,Apple Music,Bản phối rất sáng tạo và thu hút,3
Pop,Spotify,Bản phối rất sáng tạo và thu hút,1
Hip-hop,Apple Music,Lời bài hát ý nghĩa và sâu lắng,1
Hip-hop,Apple Music,Chất giọng hay nhưng thiếu cảm xúc,4
,Spotify,Lời bài hát ý nghĩa và sâu lắng,3
Pop,Spotify,Chất giọng hay nhưng thiếu cảm xúc,4
Hip-hop,YouTube Music,Bản phối rất sáng tạo và thu hút,3
Rock,Apple Music,Bản phối rất sáng tạo và thu hút,5
Indie,Spotify,Ca khúc rất sáng tạo và truyền cảm hứng,2
Hip-hop,YouTube Music,Album sáng tạo và mang phong cách riêng,5
Rock,YouTube Music,Giai điệu bắt tai nhưng chưa mới,3
Hip-hop,Apple Music,Lời bài hát ý nghĩa và sâu lắng,2
Rock,Apple Music,Phần hòa âm sáng tạo và độc đáo,1
Indie,YouTube Music,Chất giọng hay nhưng thiếu cảm xúc,1
Hip-hop,Spotify,Phần hòa âm sáng tạo và độc đáo,4
Hip-hop,YouTube Music,Album sáng tạo và mang phong cách riêng,3
Pop,Apple Music,Chất giọng hay nhưng thiếu cảm xúc,3
Indie,Spotify,Lời bài hát ý nghĩa và sâu lắng,1
Rock,Spotify,Ca khúc rất sáng tạo và truyền cảm hứng,5
Hip-hop,YouTube Music,Phần hòa âm sáng tạo và độc đáo,2
,Apple Music,Album sáng tạo và mang phong cách riêng,5
Rock,YouTube Music,Lời bài hát ý nghĩa và sâu lắng,5
Indie,YouTube Music,Bản phối rất sáng tạo và thu hút,1
Pop,YouTube Music,Bản phối rất sáng tạo và thu hút,1
Pop,Spotify,Lời bài hát ý nghĩa và sâu lắng,1
Hip-hop,Spotify,Lời bài hát ý nghĩa và sâu lắng,4
Rock,Apple Music,Lời bài hát ý nghĩa và sâu lắng,5
Hip-hop,Apple Music,Chất giọng hay nhưng thiếu cảm xúc,3
Rock,YouTube Music,Lời bài hát ý nghĩa và sâu lắng,2
Pop,YouTube Music,Phần hòa âm sáng tạo và độc đáo,4
Indie,YouTube Music,Album sáng tạo và mang phong cách riêng,3
Rock,Apple Music,Chất giọng hay nhưng thiếu cảm xúc,5
Pop,Spotify,Lời bài hát ý nghĩa và sâu lắng,1
Hip-hop,Spotify,Giai điệu bắt tai nhưng chưa mới,5
Rock,YouTube Music,Giai điệu bắt tai nhưng chưa mới,2
Indie,YouTube Music,Album sáng tạo và mang phong cách riêng,4
Hip-hop,YouTube Music,Bản phối rất sáng tạo và thu hút,4
Hip-hop,YouTube Music,Ca khúc rất sáng tạo và truyền cảm hứng,2
Pop,Apple Music,Ca khúc rất sáng tạo và truyền cảm hứng,3
Rock,Spotify,Bản phối rất sáng tạo và thu hút,3
Hip-hop,YouTube Music,Chất giọng hay nhưng thiếu cảm xúc,4
Indie,Apple Music,Chất giọng hay nhưng thiếu cảm xúc,4
Rock,YouTube Music,,1
Indie,YouTube Music,Ca khúc rất sáng tạo và truyền cảm hứng,3
Hip-hop,Spotify,Giai điệu bắt tai nhưng chưa mới,2
Indie,YouTube Music,Ca khúc rất sáng tạo và truyền cảm hứng,3
Pop,Spotify,Phần hòa âm sáng tạo và độc đáo,1
Indie,Spotify,Lời bài hát ý nghĩa và sâu lắng,4
Rock,Spotify,Chất giọng hay nhưng thiếu cảm xúc,4
Indie,Apple Music,Giai điệu bắt tai nhưng chưa mới,1
Indie,Apple Music,Album sáng tạo và mang phong cách riêng,2
Pop,Spotify,Album sáng tạo và mang phong cách riêng,4
Indie,YouTube Music,Lời bài hát ý nghĩa và sâu lắng,5
Indie,Spotify,Giai điệu bắt tai nhưng chưa mới,4
Hip-hop,YouTube Music,Ca khúc rất sáng tạo và truyền cảm hứng,5
Hip-hop,Spotify,Ca khúc rất sáng tạo và truyền cảm hứng,1
Rock,YouTube Music,Phần hòa âm sáng tạo và độc đáo,1
Hip-hop,Apple Music,Phần hòa âm sáng tạo và độc đáo,4
Hip-hop,YouTube Music,Ca khúc rất sáng tạo và truyền cảm hứng,3
,Spotify,Album sáng tạo và mang phong cách riêng,5
Hip-hop,Apple Music,Chất giọng hay nhưng thiếu cảm xúc,2
Pop,YouTube Music,Album sáng tạo và mang phong cách riêng,4
Hip-hop,YouTube Music,Phần hòa âm sáng tạo và độc đáo,2
Pop,YouTube Music,Lời bài hát ý nghĩa và sâu lắng,4
Pop,YouTube Music,Ca khúc rất sáng tạo và truyền cảm hứng,3
Hip-hop,YouTube Music,Phần hòa âm sáng tạo và độc đáo,3
Indie,Apple Music,Phần hòa âm sáng tạo và độc đáo,3
Pop,Apple Music,Chất giọng hay nhưng thiếu cảm xúc,3
Indie,Apple Music,Ca khúc rất sáng tạo và truyền cảm hứng,1
Indie,Apple Music,Chất giọng hay nhưng thiếu cảm xúc,1
Hip-hop,Spotify,Ca khúc rất sáng tạo và truyền cảm hứng,5
Rock,Apple Music,Chất giọng hay nhưng thiếu cảm xúc,2
Hip-hop,YouTube Music,,4
Rock,YouTube Music,Lời bài hát ý nghĩa và sâu lắng,4
Rock,Apple Music,,1
Hip-hop,YouTube Music,Ca khúc rất sáng tạo và truyền cảm hứng,4
Hip-hop,Apple Music,Giai điệu bắt tai nhưng chưa mới,1
Rock,YouTube Music,Bản phối rất sáng tạo và thu hút,5
Hip-hop,Spotify,Phần hòa âm sáng tạo và độc đáo,2
Rock,Spotify,Phần hòa âm sáng tạo và độc đáo,5
Indie,Apple Music,Ca khúc rất sáng tạo và truyền cảm hứng,3
Hip-hop,Apple Music,Chất giọng hay nhưng thiếu cảm xúc,3
Indie,Apple Music,Giai điệu bắt tai nhưng chưa mới,3
Pop,YouTube Music,Album sáng tạo và mang phong cách riêng,5
Indie,Apple Music,Chất giọng hay nhưng thiếu cảm xúc,4
Indie,Spotify,Chất giọng hay nhưng thiếu cảm xúc,2
Rock,YouTube Music,Ca khúc rất sáng tạo và truyền cảm hứng,3
Indie,Apple Music,Ca khúc rất sáng tạo và truyền cảm hứng,3
Hip-hop,YouTube Music,Phần hòa âm sáng tạo và độc đáo,3
Rock,YouTube Music,Ca khúc rất sáng tạo và truyền cảm hứng,2
Pop,Apple Music,Ca khúc rất sáng tạo và truyền cảm hứng,3
Hip-hop,YouTube Music,Ca khúc rất sáng tạo và truyền cảm hứng,2
Pop,Spotify,Phần hòa âm sáng tạo và độc đáo,3
Indie,Spotify,Album sáng tạo và mang phong cách riêng,5
Hip-hop,YouTube Music,Album sáng tạo và mang phong cách riêng,5
Hip-hop,Apple Music,Bản phối rất sáng tạo và thu hút,2
Pop,YouTube Music,Bản phối rất sáng tạo và thu hút,5
Hip-hop,Spotify,Ca khúc rất sáng tạo và truyền cảm hứng,2
Hip-hop,YouTube Music,Bản phối rất sáng tạo và thu hút,5
Hip-hop,YouTube Music,Phần hòa âm sáng tạo và độc đáo,5
Indie,Spotify,Album sáng tạo và mang phong cách riêng,2
Pop,YouTube Music,Chất giọng hay nhưng thiếu cảm xúc,4
